State,Active_Cases,spop
Maharashtra,301752,112374333
Karnataka,101631,61095297
Andhra Pradesh,88191,49577103
Uttar Pradesh,68235,199812341
Tamil Nadu,46610,72147030
Orissa,37140,41974219
Telangana,30673,35003674
Assam,28208,31205576
Chhattisgarh,36036,25545198
Kerala,34315,33406061
Delhi,31721,16787941
West Bengal,24336,91276115
Madhya Pradesh,21631,72626809
Haryana,21014,25351462
Punjab,21568,27743338
Gujarat        ,15909,60439692
Rajasthan,17495,68548437
Bihar,13646,104099452
Jharkhand,13703,32988134
Jammu and Kashmir,20239,12267032
Uttaranchal        ,11714,10086292
Tripura,7160,3673917
Goa,5612,1458545
Puducherry,4744,1247953
Himachal Pradesh,4144,6864602
Arunachal Pradesh,1871,1255000
Chandigarh,3085,1055450
Manipur,1840,2570390
Meghalaya,1983,2966889
Nagaland,1193,1978502
Lakshadweep,971,274000
Mizoram,585,1097206
Sikkim,462,610577
Andaman and Nicobar,174,380581
Dadra and Nagar Haveli,105,292882
Daman and Diu,105,292882
