OBJECTID,COUNTY,CNTYCODE,LAND,ISLAND,TAG,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
1, , ,y,y,n,{15817685-9A9D-41DE-94CF-D265D8FB0D75},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,8003.66071252,368.527439198868
2, , ,y,y,n,{B6F16CED-D41E-4DFD-A643-A4D04FC13B8A},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,17124.57927187,614.465340320333
3, , ,y,y,n,{75853E1B-93A4-49FB-908C-1E187235F78E},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,3602.055346845,255.838607677795
4, , ,y,y,n,{D26B05BD-0C0E-478A-A8BB-D9E713D80497},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1915.65759995,171.703702291964
5,Cumberland,05,n,n,n,{2CCB8440-AD0E-466F-A81D-C9A352B4382F},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,770242432.104737,1088663.67179273
6,Cumberland,05,n,n,n,{1D391050-0D14-4E2F-A497-5CA642B16A3A},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,357486.55947492,7288.53957675834
7,Cumberland,05,n,n,n,{B6693ED8-E481-4597-A5E0-663C3E911926},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,18503.46469571,1311.32460427336
8,Cumberland,05,n,n,n,{72CE03A3-0FD9-4E65-A7EE-35C51977A900},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,2675718.79755967,38128.4172176064
9,Cumberland,05,y,y,n,{3A05F3A5-6592-4287-A260-73086EE3E637},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,300.812946835,64.3325296110872
10,Cumberland,05,y,y,n,{EDDD73E5-3E36-4A9E-BDC8-0A5693F1C8BB},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,162.241860955,49.0743703154628
11,Cumberland,05,y,y,n,{6D2B9343-8CFC-465D-97F5-605687042073},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,217.119734435,53.4630332425747
12,Cumberland,05,y,y,n,{F08FF692-20A7-4BB1-9608-402A060AA311},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1522.021448455,164.998481134425
13,Cumberland,05,y,y,n,{5326E1BA-5A30-4BDF-BBAA-996EEAF9AC07},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,364.67617399,83.7761230715257
14,Cumberland,05,y,y,n,{7129DDC2-BF40-4E69-8E0A-CF84AF74215C},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1022.421767815,128.554834154348
15,Cumberland,05,y,y,n,{CA879CFA-D684-40BB-A8EC-CD71E84C68BA},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1082.56384525,128.712016436211
16,Cumberland,05,y,y,n,{3DBCF0F4-CBE3-4AD4-9B85-1629D57DD8ED},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,237.728291555,58.3437470160829
17,Cumberland,05,y,y,n,{381F6031-4942-40D9-8767-0AFE88AFEDA6},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,3698.25176651,385.75494902463
18,Cumberland,05,y,y,n,{C661B9C7-DA72-4574-B897-D9616123401A},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1453.60040787,150.084782338599
19,Cumberland,05,y,y,n,{F7C87476-AF5C-4912-89EE-2C81DEECB1BA},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,880687.19152033,6351.05737938169
20,Cumberland,05,y,y,n,{D022B975-466A-4992-8694-BD5F12719FF0},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1768.624244435,175.63059263681
21,Cumberland,05,y,y,n,{7D3862E6-8AE7-42C5-963C-942E2152BACF},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,294.316224555,72.5787566807767
